Day,b_p,b_n
"Day 1, Hour 0",0.0,0.0
"Day 1, Hour 1",0.0751767367916078,-0.0375883683958039
"Day 1, Hour 2",0.1499280071291594,-0.0749640035645797
"Day 1, Hour 3",0.223830752507004,-0.111915376253502
"Day 1, Hour 4",0.2964667166884004,-0.1482333583442002
"Day 1, Hour 5",0.3674248128473415,-0.18371240642367076
"Day 1, Hour 6",0.4363034501347456,-0.2181517250673728
"Day 1, Hour 7",0.5027128065016967,-0.25135640325084835
"Day 1, Hour 8",0.56627703491658,-0.28313851745829
"Day 1, Hour 9",0.626636390489916,-0.313318195244958
"Day 1, Hour 10",0.6834492664683272,-0.3417246332341636
"Day 1, Hour 11",0.7363941275748263,-0.3681970637874131
"Day 1, Hour 12",0.7851713297535937,-0.39258566487679686
"Day 1, Hour 13",0.8295048160203086,-0.4147524080101543
"Day 1, Hour 14",0.8691436788202822,-0.4345718394101411
"Day 1, Hour 15",0.9038635800521536,-0.4519317900260768
"Day 1, Hour 16",0.933468020720452,-0.466734010360226
"Day 1, Hour 17",0.9577894530313652,-0.4788947265156826
"Day 1, Hour 18",0.9766902286377508,-0.4883451143188754
"Day 1, Hour 19",0.9900633776667548,-0.4950316888333774
"Day 1, Hour 20",0.9978332141210894,-0.4989166070605447
"Day 1, Hour 21",0.9999557642276712,-0.4999778821138356
"Day 1, Hour 22",0.9964190153093614,-0.4982095076546807
"Day 1, Hour 23",0.987242983771306,-0.493621491885653
"Day 2, Hour 0",0.972479601817102,-0.486239800908551
"Day 2, Hour 1",0.9522124235359264,-0.4761062117679632
"Day 2, Hour 2",0.9265561520240432,-0.4632780760120216
"Day 2, Hour 3",0.8956559902169658,-0.4478279951084829
"Day 2, Hour 4",0.859686819106274,-0.429843409553137
"Day 2, Hour 5",0.8188522079920058,-0.4094261039960029
"Day 2, Hour 6",0.7733832623721523,-0.38669163118607613
"Day 2, Hour 7",0.7235373159896794,-0.3617686579948397
"Day 2, Hour 8",0.6695964744395031,-0.33479823721975155
"Day 2, Hour 9",0.6118660185779448,-0.3059330092889724
"Day 2, Hour 10",0.5506726767706497,-0.27533633838532484
"Day 2, Hour 11",0.486362775757269,-0.2431813878786345
"Day 2, Hour 12",0.4193002805981735,-0.20965014029908674
"Day 2, Hour 13",0.349864734796224,-0.174932367398112
"Day 2, Hour 14",0.2784491122515744,-0.1392245561257872
"Day 2, Hour 15",0.2054575932064787,-0.10272879660323934
"Day 2, Hour 16",0.1313032767672528,-0.0656516383836264
"Day 2, Hour 17",0.0564058429494812,-0.0282029214747406
"Day 2, Hour 18",0.0,0.0
"Day 2, Hour 19",0.0,0.0
"Day 2, Hour 20",0.0,0.0
"Day 2, Hour 21",-0.0421247029498357,0.02106235147491785
"Day 2, Hour 22",-0.1143794079722745,0.05718970398613725
"Day 2, Hour 23",-0.1848548672114189,0.09242743360570944
"Day 3, Hour 0",-0.2531522213256667,0.12657611066283336
"Day 3, Hour 1",-0.3188849380669237,0.15944246903346185
"Day 3, Hour 2",-0.3816809998789489,0.19084049993947444
"Day 3, Hour 3",-0.4411850093490831,0.22059250467454156
"Day 3, Hour 4",-0.4970602005974566,0.2485301002987283
"Day 3, Hour 5",-0.548990345220114,0.274495172610057
"Day 3, Hour 6",-0.5966815419992824,0.2983407709996412
"Day 3, Hour 7",-0.6398638802518257,0.31993194012591286
"Day 3, Hour 8",-0.6782929674020852,0.3391464837010426
"Day 3, Hour 9",-0.7117513121337269,0.35587565606686344
"Day 3, Hour 10",-0.7400495552925884,0.3700247776462942
"Day 3, Hour 11",-0.7630275415741609,0.38151377078708043
"Day 3, Hour 12",-0.7805552259304442,0.3902776129652221
"Day 3, Hour 13",-0.7925334095663168,0.3962667047831584
"Day 3, Hour 14",-0.7988943013600155,0.39944715068000775
"Day 3, Hour 15",-0.7996019015303366,0.3998009507651683
"Day 3, Hour 16",-0.7946522053791755,0.39732610268958773
"Day 3, Hour 17",-0.7840732259563128,0.3920366129781564
"Day 3, Hour 18",-0.767924835518176,0.383962417759088
"Day 3, Hour 19",-0.7462984266778481,0.37314921333892404
"Day 3, Hour 20",-0.7193163951640609,0.35965819758203044
"Day 3, Hour 21",-0.6871314471165236,0.3435657235582618
"Day 3, Hour 22",-0.6499257348379861,0.32496286741899305
"Day 3, Hour 23",-0.6079098258942849,0.30395491294714244
"Day 4, Hour 0",-0.5613215113968094,0.2806607556984047
"Day 4, Hour 1",-0.5104244602119613,0.25521223010598065
"Day 4, Hour 2",-0.4555067267141899,0.22775336335709495
"Day 4, Hour 3",-0.3968791205280315,0.19843956026401574
"Day 4, Hour 4",-0.3348734474856937,0.16743672374284685
"Day 4, Hour 5",-0.2698406317555658,0.1349203158777829
"Day 4, Hour 6",-0.2021487297695542,0.1010743648847771
"Day 4, Hour 7",-0.132180847189538,0.066090423594769
"Day 4, Hour 8",-0.0603329707019518,0.0301664853509759
"Day 4, Hour 9",0.0,0.0
"Day 4, Hour 10",0.0,0.0
"Day 4, Hour 11",0.0,0.0
"Day 4, Hour 12",0.0376149883006395,-0.01880749415031975
"Day 4, Hour 13",0.1126320810182266,-0.0563160405091133
"Day 4, Hour 14",0.1870117269115823,-0.09350586345579115
"Day 4, Hour 15",0.2603329707019497,-0.13016648535097486
"Day 4, Hour 16",0.3321808471895366,-0.1660904235947683
"Day 4, Hour 17",0.402148729769553,-0.2010743648847765
"Day 4, Hour 18",0.4698406317555645,-0.23492031587778225
"Day 4, Hour 19",0.5348734474856925,-0.26743672374284627
"Day 4, Hour 20",0.5968791205280296,-0.2984395602640148
"Day 4, Hour 21",0.6555067267141887,-0.3277533633570944
"Day 4, Hour 22",0.7104244602119603,-0.35521223010598013
"Day 4, Hour 23",0.7613215113968085,-0.38066075569840424
"Day 5, Hour 0",0.8079098258942841,-0.40395491294714203
"Day 5, Hour 1",0.849925734837985,-0.4249628674189925
"Day 5, Hour 2",0.887131447116523,-0.4435657235582615
"Day 5, Hour 3",0.9193163951640604,-0.4596581975820302
"Day 5, Hour 4",0.9462984266778476,-0.4731492133389238
"Day 5, Hour 5",0.9679248355181757,-0.4839624177590878
"Day 5, Hour 6",0.9840732259563124,-0.4920366129781562
"Day 5, Hour 7",0.9946522053791752,-0.4973261026895876
"Day 5, Hour 8",0.9996019015303368,-0.4998009507651684
"Day 5, Hour 9",0.9988943013600154,-0.4994471506800077
"Day 5, Hour 10",0.9925334095663172,-0.4962667047831586
"Day 5, Hour 11",0.9805552259304448,-0.4902776129652224
"Day 5, Hour 12",0.9630275415741616,-0.4815137707870808
"Day 5, Hour 13",0.9400495552925886,-0.4700247776462943
"Day 5, Hour 14",0.9117513121337276,-0.4558756560668638
"Day 5, Hour 15",0.8782929674020858,-0.4391464837010429
"Day 5, Hour 16",0.8398638802518265,-0.41993194012591323
"Day 5, Hour 17",0.7966815419992836,-0.3983407709996418
"Day 5, Hour 18",0.7489903452201152,-0.3744951726100576
"Day 5, Hour 19",0.6970602005974575,-0.3485301002987288
"Day 5, Hour 20",0.6411850093490837,-0.32059250467454187
"Day 5, Hour 21",0.5816809998789504,-0.2908404999394752
"Day 5, Hour 22",0.5188849380669249,-0.25944246903346246
"Day 5, Hour 23",0.4531522213256675,-0.22657611066283376
"Day 6, Hour 0",0.3848548672114211,-0.19242743360571055
"Day 6, Hour 1",0.3143794079722763,-0.15718970398613816
"Day 6, Hour 2",0.2421247029498366,-0.1210623514749183
"Day 6, Hour 3",0.1684996812150745,-0.08424984060753725
"Day 6, Hour 4",0.0939210272140557,-0.04696051360702785
"Day 6, Hour 5",0.018810822521752493,-0.009405411260876247
"Day 6, Hour 6",-6.938893903907228e-18,3.469446951953614e-18
"Day 6, Hour 7",-6.938893903907228e-18,3.469446951953614e-18
"Day 6, Hour 8",-0.0054575932064774065,0.0027287966032387033
"Day 6, Hour 9",-0.0784491122515734,0.0392245561257867
"Day 6, Hour 10",-0.1498647347962218,0.0749323673981109
"Day 6, Hour 11",-0.2193002805981718,0.1096501402990859
"Day 6, Hour 12",-0.2863627757572677,0.14318138787863385
"Day 6, Hour 13",-0.3506726767706493,0.17533633838532464
"Day 6, Hour 14",-0.4118660185779432,0.2059330092889716
"Day 6, Hour 15",-0.469596474439502,0.234798237219751
"Day 6, Hour 16",-0.5235373159896788,0.2617686579948394
"Day 6, Hour 17",-0.5733832623721509,0.28669163118607544
"Day 6, Hour 18",-0.618852207992005,0.3094261039960025
"Day 6, Hour 19",-0.6596868191062736,0.3298434095531368
"Day 6, Hour 20",-0.6956559902169649,0.34782799510848245
"Day 6, Hour 21",-0.7265561520240424,0.3632780760120212
"Day 6, Hour 22",-0.752212423535926,0.376106211767963
"Day 6, Hour 23",-0.7724796018171021,0.38623980090855103
"Day 7, Hour 0",-0.7872429837713059,0.39362149188565293
"Day 7, Hour 1",-0.7964190153093612,0.3982095076546806
"Day 7, Hour 2",-0.7999557642276712,0.3999778821138356
