Day,b_n,b_p
"Day 1, Hour 0",1.0,1.0
"Day 1, Hour 1",0.9248232632083921,1.0751767367916079
"Day 1, Hour 2",0.8500719928708406,1.1499280071291593
"Day 1, Hour 3",0.776169247492996,1.223830752507004
"Day 1, Hour 4",0.7035332833115996,1.2964667166884003
"Day 1, Hour 5",0.6325751871526585,1.3674248128473416
"Day 1, Hour 6",0.5636965498652544,1.4363034501347456
"Day 1, Hour 7",0.4972871934983033,1.5027128065016968
"Day 1, Hour 8",0.43372296508342,1.56627703491658
"Day 1, Hour 9",0.37336360951008396,1.626636390489916
"Day 1, Hour 10",0.31655073353167285,1.6834492664683272
"Day 1, Hour 11",0.26360587242517375,1.7363941275748263
"Day 1, Hour 12",0.21482867024640628,1.7851713297535938
"Day 1, Hour 13",0.17049518397969143,1.8295048160203087
"Day 1, Hour 14",0.1308563211797178,1.8691436788202822
"Day 1, Hour 15",0.09613641994784639,1.9038635800521537
"Day 1, Hour 16",0.06653197927954801,1.933468020720452
"Day 1, Hour 17",0.0422105469686348,1.9577894530313653
"Day 1, Hour 18",0.02330977136224921,1.9766902286377508
"Day 1, Hour 19",0.009936622333245215,1.990063377666755
"Day 1, Hour 20",0.0021667858789106154,1.9978332141210893
"Day 1, Hour 21",4.423577232881559e-05,1.9999557642276713
"Day 1, Hour 22",0.003580984690638611,1.9964190153093613
"Day 1, Hour 23",0.012757016228693963,1.987242983771306
"Day 2, Hour 0",0.027520398182897976,1.972479601817102
"Day 2, Hour 1",0.04778757646407361,1.9522124235359264
"Day 2, Hour 2",0.07344384797595682,1.9265561520240433
"Day 2, Hour 3",0.10434400978303415,1.8956559902169658
"Day 2, Hour 4",0.14031318089372602,1.8596868191062739
"Day 2, Hour 5",0.18114779200799425,1.8188522079920058
"Day 2, Hour 6",0.22661673762784773,1.7733832623721524
"Day 2, Hour 7",0.2764626840103206,1.7235373159896794
"Day 2, Hour 8",0.3304035255604969,1.669596474439503
"Day 2, Hour 9",0.38813398142205524,1.6118660185779448
"Day 2, Hour 10",0.4493273232293503,1.5506726767706498
"Day 2, Hour 11",0.513637224242731,1.486362775757269
"Day 2, Hour 12",0.5806997194018265,1.4193002805981734
"Day 2, Hour 13",0.650135265203776,1.349864734796224
"Day 2, Hour 14",0.7215508877484256,1.2784491122515744
"Day 2, Hour 15",0.7945424067935213,1.2054575932064786
"Day 2, Hour 16",0.8686967232327472,1.1313032767672528
"Day 2, Hour 17",0.9435941570505189,1.0564058429494811
"Day 2, Hour 18",1.0,1.0
"Day 2, Hour 19",1.0,1.0
"Day 2, Hour 20",1.0,1.0
"Day 2, Hour 21",1.0421247029498357,0.9578752970501643
"Day 2, Hour 22",1.1143794079722744,0.8856205920277255
"Day 2, Hour 23",1.184854867211419,0.8151451327885811
"Day 3, Hour 0",1.2531522213256667,0.7468477786743333
"Day 3, Hour 1",1.3188849380669236,0.6811150619330764
"Day 3, Hour 2",1.3816809998789488,0.6183190001210511
"Day 3, Hour 3",1.4411850093490832,0.5588149906509169
"Day 3, Hour 4",1.4970602005974567,0.5029397994025434
"Day 3, Hour 5",1.5489903452201141,0.45100965477988597
"Day 3, Hour 6",1.5966815419992824,0.40331845800071764
"Day 3, Hour 7",1.6398638802518257,0.3601361197481743
"Day 3, Hour 8",1.6782929674020852,0.3217070325979148
"Day 3, Hour 9",1.7117513121337269,0.2882486878662731
"Day 3, Hour 10",1.7400495552925883,0.2599504447074116
"Day 3, Hour 11",1.7630275415741608,0.23697245842583914
"Day 3, Hour 12",1.7805552259304442,0.21944477406955576
"Day 3, Hour 13",1.7925334095663168,0.2074665904336832
"Day 3, Hour 14",1.7988943013600154,0.2011056986399845
"Day 3, Hour 15",1.7996019015303366,0.2003980984696634
"Day 3, Hour 16",1.7946522053791756,0.20534779462082453
"Day 3, Hour 17",1.7840732259563128,0.2159267740436872
"Day 3, Hour 18",1.767924835518176,0.23207516448182397
"Day 3, Hour 19",1.746298426677848,0.25370157332215193
"Day 3, Hour 20",1.7193163951640609,0.2806836048359391
"Day 3, Hour 21",1.6871314471165237,0.31286855288347637
"Day 3, Hour 22",1.649925734837986,0.3500742651620139
"Day 3, Hour 23",1.6079098258942848,0.3920901741057151
"Day 4, Hour 0",1.5613215113968093,0.4386784886031906
"Day 4, Hour 1",1.5104244602119614,0.4895755397880387
"Day 4, Hour 2",1.45550672671419,0.5444932732858101
"Day 4, Hour 3",1.3968791205280315,0.6031208794719685
"Day 4, Hour 4",1.3348734474856938,0.6651265525143063
"Day 4, Hour 5",1.2698406317555657,0.7301593682444343
"Day 4, Hour 6",1.2021487297695541,0.7978512702304458
"Day 4, Hour 7",1.132180847189538,0.867819152810462
"Day 4, Hour 8",1.0603329707019518,0.9396670292980482
"Day 4, Hour 9",1.0,1.0
"Day 4, Hour 10",1.0,1.0
"Day 4, Hour 11",1.0,1.0
"Day 4, Hour 12",0.9623850116993605,1.0376149883006396
"Day 4, Hour 13",0.8873679189817734,1.1126320810182266
"Day 4, Hour 14",0.8129882730884177,1.1870117269115823
"Day 4, Hour 15",0.7396670292980503,1.2603329707019497
"Day 4, Hour 16",0.6678191528104633,1.3321808471895367
"Day 4, Hour 17",0.597851270230447,1.402148729769553
"Day 4, Hour 18",0.5301593682444354,1.4698406317555646
"Day 4, Hour 19",0.46512655251430746,1.5348734474856927
"Day 4, Hour 20",0.4031208794719704,1.5968791205280297
"Day 4, Hour 21",0.34449327328581125,1.6555067267141887
"Day 4, Hour 22",0.28957553978803974,1.7104244602119603
"Day 4, Hour 23",0.23867848860319152,1.7613215113968086
"Day 5, Hour 0",0.19209017410571594,1.807909825894284
"Day 5, Hour 1",0.15007426516201505,1.849925734837985
"Day 5, Hour 2",0.11286855288347697,1.887131447116523
"Day 5, Hour 3",0.08068360483593962,1.9193163951640604
"Day 5, Hour 4",0.05370157332215242,1.9462984266778476
"Day 5, Hour 5",0.03207516448182435,1.9679248355181755
"Day 5, Hour 6",0.015926774043687586,1.9840732259563123
"Day 5, Hour 7",0.005347794620824797,1.9946522053791753
"Day 5, Hour 8",0.0003980984696632106,1.9996019015303368
"Day 5, Hour 9",0.0011056986399845536,1.9988943013600156
"Day 5, Hour 10",0.007466590433682807,1.9925334095663172
"Day 5, Hour 11",0.01944477406955525,1.9805552259304449
"Day 5, Hour 12",0.036972458425838406,1.9630275415741616
"Day 5, Hour 13",0.0599504447074114,1.9400495552925885
"Day 5, Hour 14",0.08824868786627238,1.9117513121337275
"Day 5, Hour 15",0.12170703259791416,1.8782929674020858
"Day 5, Hour 16",0.16013611974817354,1.8398638802518263
"Day 5, Hour 17",0.20331845800071635,1.7966815419992836
"Day 5, Hour 18",0.2510096547798848,1.7489903452201152
"Day 5, Hour 19",0.30293979940254245,1.6970602005974575
"Day 5, Hour 20",0.35881499065091627,1.6411850093490838
"Day 5, Hour 21",0.4183190001210496,1.5816809998789503
"Day 5, Hour 22",0.48111506193307507,1.518884938066925
"Day 5, Hour 23",0.5468477786743324,1.4531522213256676
"Day 6, Hour 0",0.6151451327885789,1.3848548672114211
"Day 6, Hour 1",0.6856205920277236,1.3143794079722764
"Day 6, Hour 2",0.7578752970501634,1.2421247029498366
"Day 6, Hour 3",0.8315003187849255,1.1684996812150745
"Day 6, Hour 4",0.9060789727859443,1.0939210272140556
"Day 6, Hour 5",0.9811891774782475,1.0188108225217525
"Day 6, Hour 6",1.0,1.0
"Day 6, Hour 7",1.0,1.0
"Day 6, Hour 8",1.0054575932064773,0.9945424067935226
"Day 6, Hour 9",1.0784491122515734,0.9215508877484266
"Day 6, Hour 10",1.1498647347962219,0.8501352652037781
"Day 6, Hour 11",1.2193002805981719,0.7806997194018281
"Day 6, Hour 12",1.2863627757572678,0.7136372242427322
"Day 6, Hour 13",1.3506726767706492,0.6493273232293507
"Day 6, Hour 14",1.4118660185779432,0.5881339814220568
"Day 6, Hour 15",1.469596474439502,0.530403525560498
"Day 6, Hour 16",1.5235373159896788,0.4764626840103212
"Day 6, Hour 17",1.5733832623721509,0.42661673762784913
"Day 6, Hour 18",1.618852207992005,0.381147792007995
"Day 6, Hour 19",1.6596868191062737,0.3403131808937264
"Day 6, Hour 20",1.6956559902169648,0.3043440097830351
"Day 6, Hour 21",1.7265561520240424,0.27344384797595755
"Day 6, Hour 22",1.752212423535926,0.247787576464074
"Day 6, Hour 23",1.772479601817102,0.22752039818289793
"Day 7, Hour 0",1.7872429837713057,0.21275701622869414
"Day 7, Hour 1",1.796419015309361,0.2035809846906388
"Day 7, Hour 2",1.7999557642276711,0.20004423577232877
"Day 7, Hour 3",1.7978332141210895,0.20216678587891035
"Day 7, Hour 4",1.7900633776667552,0.20993662233324495
"Day 7, Hour 5",1.7766902286377508,0.22330977136224917
"Day 7, Hour 6",1.757789453031366,0.24221054696863398
"Day 7, Hour 7",1.7334680207204527,0.2665319792795472
"Day 7, Hour 8",1.7038635800521542,0.2961364199478458
"Day 7, Hour 9",1.6691436788202827,0.3308563211797174
"Day 7, Hour 10",1.6295048160203098,0.3704951839796903
"Day 7, Hour 11",1.5851713297535945,0.41482867024640535
"Day 7, Hour 12",1.536394127574827,0.46360587242517304
"Day 7, Hour 13",1.4834492664683288,0.5165507335316712
"Day 7, Hour 14",1.4266363904899175,0.5733636095100825
"Day 7, Hour 15",1.366277034916581,0.6337229650834191
"Day 7, Hour 16",1.3027128065016989,0.6972871934983011
"Day 7, Hour 17",1.2363034501347472,0.7636965498652529
"Day 7, Hour 18",1.1674248128473428,0.8325751871526573
"Day 7, Hour 19",1.096466716688401,0.9035332833115989
"Day 7, Hour 20",1.0238307525070058,0.9761692474929942
"Day 7, Hour 21",1.0,1.0
"Day 7, Hour 22",1.0,1.0
"Day 7, Hour 23",1.0,1.0
